                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.9434,                 7.9472,                 4.2492,                      0,                      0,                      0,                      0,                 5.8287,                  6.212,                 4.1609,                  5e-05,                  5e-05,                  5e-05
                      2,                 5.7268,                  7.558,                 4.2646,                      0,                      0,                      0,                      0,                 5.8301,                 6.2192,                 4.1633,             0.00011244,             0.00011244,             0.00011244
                      3,                 5.3287,                 6.8183,                 4.2375,                      0,                      0,                      0,                      0,                 5.8317,                 6.2271,                 4.1668,             0.00017483,             0.00017483,             0.00017483
                      4,                 5.6398,                 6.6245,                 4.1505,                      0,                      0,                      0,                      0,                 5.8334,                 6.2344,                 4.1708,             0.00023715,             0.00023715,             0.00023715
                      5,                 5.5206,                 6.8839,                 4.1319,                      0,                      0,                      0,                      0,                 5.8368,                  6.246,                 4.1787,             0.00029941,             0.00029941,             0.00029941
                      6,                 5.1917,                 6.6535,                 4.0402,                      0,                      0,                      0,                      0,                   5.84,                 6.2546,                 4.1867,              0.0003616,              0.0003616,              0.0003616
