                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.9434,                 7.9472,                 4.2492,                      0,                      0,                      0,                      0,                 5.8287,                  6.212,                 4.1609,                  5e-05,                  5e-05,                  5e-05
                      2,                 5.7249,                 7.5502,                   4.27,                      0,                      0,                      0,                      0,                 5.8301,                 6.2192,                 4.1633,             7.5375e-05,             7.5375e-05,             7.5375e-05
                      3,                 5.3627,                 6.9299,                  4.254,                      0,                      0,                      0,                      0,                 5.8317,                 6.2278,                 4.1663,               5.95e-05,               5.95e-05,               5.95e-05
