                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                 1.1245,                 1.0022,                 1.0217,                0.87323,                0.62577,                0.71321,                0.49598,                 1.0693,                0.88248,                 1.0251,              0.0010792,              0.0010792,              0.0010792
                    141,                 1.1417,                0.97884,                 1.0399,                0.83491,                0.61974,                0.69345,                0.47817,                 1.0714,                0.97998,                 1.0249,               0.001078,               0.001078,               0.001078
                    142,                 1.0872,                0.97469,                 1.0333,                0.87472,                0.64773,                0.72353,                0.51504,                0.98322,                  0.819,                 1.0015,              0.0010768,              0.0010768,              0.0010768
                    143,                 1.1338,                0.92761,                 1.0369,                0.88333,                0.66453,                0.76047,                0.55677,                0.94129,                0.77481,                0.98611,              0.0010755,              0.0010755,              0.0010755
                    144,                 1.1609,                 1.0011,                 1.0099,                0.86781,                0.63097,                0.73537,                0.52365,                 1.0129,                 0.8247,                 1.0019,              0.0010743,              0.0010743,              0.0010743
                    145,                 1.1566,                 0.9716,                 1.0601,                0.84715,                0.61461,                0.71963,                0.51937,                0.99445,                0.87571,                0.99624,               0.001073,               0.001073,               0.001073
                    146,                 1.0895,                0.97022,                 1.0036,                0.84146,                0.64386,                0.70962,                0.50723,                  0.971,                0.88447,                0.99389,              0.0010718,              0.0010718,              0.0010718
                    147,                 1.1189,                0.95754,                 1.0584,                0.89862,                0.64884,                0.75237,                0.53214,                0.99328,                0.81497,                0.99638,              0.0010706,              0.0010706,              0.0010706
                    148,                 1.1054,                0.93075,                 1.0086,                0.92177,                0.61746,                0.76567,                0.56325,                0.98944,                 0.7991,                 1.0055,              0.0010693,              0.0010693,              0.0010693
                    149,                 1.1188,                0.94843,                 1.0195,                0.90569,                0.63279,                0.73132,                0.53227,                0.98061,                0.80829,                 1.0077,              0.0010681,              0.0010681,              0.0010681
                    150,                 1.1183,                0.92841,                 1.0379,                 0.8601,                0.61457,                0.70793,                0.52099,                0.96024,                0.85371,                 1.0031,              0.0010669,              0.0010669,              0.0010669
                    151,                 1.1021,                0.92673,                0.99932,                0.88375,                0.62382,                0.77051,                0.53984,                0.99316,                0.81727,                 1.0089,              0.0010656,              0.0010656,              0.0010656
                    152,                  1.104,                0.95174,                 1.0458,                0.90576,                0.64318,                0.76281,                0.54528,                 1.0285,                0.83389,                 1.0175,              0.0010644,              0.0010644,              0.0010644
                    153,                 1.1286,                0.99066,                 1.0363,                0.90953,                0.63416,                0.74316,                0.52695,                 1.0479,                0.80294,                 1.0156,              0.0010631,              0.0010631,              0.0010631
                    154,                 1.1503,                0.99098,                 1.0386,                0.84735,                0.58536,                  0.726,                 0.5225,                 0.9908,                0.91522,                  1.005,              0.0010619,              0.0010619,              0.0010619
                    155,                 1.1079,                0.97893,                 1.0375,                0.85815,                0.58808,                0.73845,                0.54512,                0.97873,                0.88147,                0.99983,              0.0010607,              0.0010607,              0.0010607
                    156,                 1.1189,                0.93667,                 1.0197,                0.87691,                0.63694,                0.78624,                 0.5748,                0.94879,                0.80988,                0.98754,              0.0010594,              0.0010594,              0.0010594
                    157,                 1.1716,                 1.0082,                 1.0213,                0.91731,                0.64921,                0.83532,                0.62104,                0.97317,                0.77914,                0.98982,              0.0010582,              0.0010582,              0.0010582
                    158,                 1.1201,                0.96712,                  1.031,                0.86657,                0.56714,                0.80623,                0.56699,                0.99314,                0.88118,                0.99449,               0.001057,               0.001057,               0.001057
                    159,                 1.1135,                 1.0035,                  1.035,                0.77837,                 0.5798,                0.68996,                0.49096,                0.97028,                  1.066,                0.98905,              0.0010557,              0.0010557,              0.0010557
                    160,                 1.1328,                0.95555,                 1.0364,                0.87976,                0.65889,                0.79451,                0.55477,                  1.003,                 0.7672,                 1.0002,              0.0010545,              0.0010545,              0.0010545
                    161,                 1.1217,                  0.993,                 1.0325,                0.88914,                0.66795,                0.82362,                0.58912,                0.94344,                0.74254,                0.98306,              0.0010532,              0.0010532,              0.0010532
                    162,                    1.1,                0.89113,                 1.0049,                0.84556,                0.67122,                0.74534,                 0.5423,                 0.9681,                0.78681,                 0.9872,               0.001052,               0.001052,               0.001052
                    163,                 1.1024,                0.86241,                 1.0014,                0.85685,                0.66911,                0.74966,                0.53167,                0.99814,                0.78036,                0.99417,              0.0010508,              0.0010508,              0.0010508
                    164,                 1.1106,                0.90337,                 1.0496,                0.67982,                0.83805,                0.85236,                0.60777,                 1.0065,                0.78849,                 1.0016,              0.0010495,              0.0010495,              0.0010495
                    165,                  1.093,                0.89061,                 1.0002,                0.94562,                0.61582,                0.87763,                0.63469,                0.98053,                0.76839,                0.99427,              0.0010483,              0.0010483,              0.0010483
                    166,                 1.0761,                 0.9141,                0.99429,                0.94129,                0.63421,                0.83278,                0.59677,                0.96372,                0.71322,                0.98724,               0.001047,               0.001047,               0.001047
                    167,                 1.0679,                0.85941,                 1.0158,                0.90595,                0.66335,                0.83503,                0.59564,                0.96388,                0.70382,                0.98286,              0.0010458,              0.0010458,              0.0010458
                    168,                 1.1194,                 0.9165,                 1.0541,                0.92994,                0.63248,                0.86855,                0.62404,                 0.9894,                0.74176,                0.98314,              0.0010446,              0.0010446,              0.0010446
                    169,                 1.1088,                 0.9072,                 1.0196,                0.89363,                0.67597,                0.79191,                0.58518,                0.94857,                0.71823,                0.97736,              0.0010433,              0.0010433,              0.0010433
                    170,                 1.1498,                0.91983,                 1.0385,                0.90355,                0.67162,                0.83288,                0.61473,                0.94475,                0.76006,                0.97806,              0.0010421,              0.0010421,              0.0010421
                    171,                 1.1238,                0.93423,                  1.054,                0.87488,                0.64272,                0.81438,                0.60418,                0.96696,                0.79802,                0.98236,              0.0010409,              0.0010409,              0.0010409
                    172,                  1.067,                0.88148,                 1.0077,                0.69811,                0.72959,                0.94578,                0.69575,                  0.976,                 0.7388,                0.98674,              0.0010396,              0.0010396,              0.0010396
                    173,                 1.0832,                 0.8932,                 1.0093,                0.70885,                0.91162,                0.96205,                0.72201,                0.96959,                0.72262,                0.98934,              0.0010384,              0.0010384,              0.0010384
                    174,                 1.0791,                0.87386,                 1.0204,                0.67086,                0.84616,                0.86451,                0.66713,                0.94699,                 0.8871,                0.99155,              0.0010372,              0.0010372,              0.0010372
                    175,                 1.0837,                0.92285,                 1.0113,                0.69818,                0.85744,                0.85086,                0.61832,                0.97341,                0.86951,                0.99716,              0.0010359,              0.0010359,              0.0010359
                    176,                 1.0449,                 0.9206,                 1.0003,                0.58822,                0.97457,                0.95345,                0.71846,                 1.0073,                0.75623,                0.99188,              0.0010347,              0.0010347,              0.0010347
                    177,                 1.0705,                 0.9294,                 1.0203,                0.85398,                0.64758,                0.76189,                0.57081,                0.97831,                0.85026,                0.99047,              0.0010334,              0.0010334,              0.0010334
                    178,                 1.0674,                0.88031,                 1.0009,                0.77421,                0.63331,                0.67567,                0.49858,                0.96538,                 1.1693,                 0.9885,              0.0010322,              0.0010322,              0.0010322
                    179,                 1.0868,                0.90269,                 1.0103,                0.85294,                0.66892,                0.75269,                0.55307,                 0.9638,                0.84246,                0.98453,               0.001031,               0.001031,               0.001031
                    180,                 1.0734,                0.91066,                 1.0292,                 0.6603,                0.97734,                0.88283,                0.64555,                0.95595,                0.69514,                0.97872,              0.0010297,              0.0010297,              0.0010297
                    181,                 1.0818,                0.88072,                  1.009,                0.63017,                0.84678,                 0.8008,                0.58366,                0.95976,                0.69377,                0.97956,              0.0010285,              0.0010285,              0.0010285
                    182,                 1.0799,                0.83323,                 1.0035,                0.66437,                 0.8332,                0.78692,                 0.5831,                0.94924,                0.70631,                0.97963,              0.0010273,              0.0010273,              0.0010273
                    183,                 1.0615,                0.85732,                 1.0146,                0.58884,                0.83342,                0.83554,                0.62022,                0.97148,                0.75034,                0.98598,               0.001026,               0.001026,               0.001026
                    184,                 1.0901,                0.98021,                 1.0203,                  0.734,                 0.8518,                0.82565,                0.61576,                0.93327,                0.81565,                0.97323,              0.0010248,              0.0010248,              0.0010248
                    185,                 1.0547,                0.86771,                 1.0233,                0.76003,                0.86035,                0.85256,                0.64551,                0.88822,                0.67815,                0.96494,              0.0010235,              0.0010235,              0.0010235
                    186,                 1.0452,                  0.885,                0.98767,                0.93041,                0.67117,                 0.8492,                0.63727,                0.91836,                0.70531,                0.97332,              0.0010223,              0.0010223,              0.0010223
                    187,                 1.0368,                0.85428,                0.98373,                0.78069,                0.85254,                 0.8472,                0.61085,                0.97267,                0.69408,                0.98055,              0.0010211,              0.0010211,              0.0010211
                    188,                  1.046,                0.89364,                 1.0061,                0.74868,                0.83796,                0.81334,                0.61751,                0.96012,                0.75352,                0.98068,              0.0010198,              0.0010198,              0.0010198
                    189,                 1.0227,                 0.7996,                0.98838,                 0.8522,                0.78831,                0.84546,                0.64153,                0.92103,                0.69387,                0.97256,              0.0010186,              0.0010186,              0.0010186
                    190,                 1.0232,                0.83417,                 1.0116,                0.81242,                0.66678,                0.82319,                0.62226,                0.92211,                0.85134,                 0.9732,              0.0010173,              0.0010173,              0.0010173
                    191,                 1.0517,                 0.8963,                0.97891,                0.70504,                0.72151,                0.75725,                0.55673,                0.94083,                0.83802,                0.97585,              0.0010161,              0.0010161,              0.0010161
                    192,                 1.0595,                0.87923,                0.98039,                0.68256,                0.83099,                0.84989,                0.62344,                0.91791,                0.70985,                0.96238,              0.0010149,              0.0010149,              0.0010149
                    193,                 1.0583,                0.87605,                0.98622,                0.67212,                0.82496,                0.84921,                0.63885,                0.91166,                0.69507,                0.95987,              0.0010136,              0.0010136,              0.0010136
                    194,                 1.0648,                0.84629,                 0.9916,                0.74393,                0.82226,                 0.8686,                0.66666,                0.92711,                0.64502,                0.96084,              0.0010124,              0.0010124,              0.0010124
                    195,                 1.0409,                0.82083,                0.99143,                0.76094,                0.76428,                0.83477,                0.64422,                0.95443,                0.76351,                0.96813,              0.0010112,              0.0010112,              0.0010112
                    196,                 1.0926,                0.96832,                  1.029,                0.79554,                0.72274,                0.82451,                0.58869,                 1.0093,                0.84253,                0.98776,              0.0010099,              0.0010099,              0.0010099
                    197,                 1.0483,                0.86024,                 0.9853,                 0.8242,                0.83822,                 0.8482,                0.61527,                0.95313,                0.71649,                0.96772,              0.0010087,              0.0010087,              0.0010087
                    198,                 1.0849,                0.87598,                  1.008,                0.66987,                0.84402,                0.81156,                0.60338,                0.93528,                0.91641,                0.96423,              0.0010075,              0.0010075,              0.0010075
                    199,                  1.063,                0.90124,                 1.0211,                0.68319,                0.84351,                 0.8069,                0.59326,                 0.9741,                0.95697,                0.97595,              0.0010062,              0.0010062,              0.0010062
                    200,                 1.0412,                0.85609,                0.97648,                0.66344,                0.95762,                0.94159,                0.70667,                0.98175,                0.74641,                0.97473,               0.001005,               0.001005,               0.001005
                    201,                   1.07,                0.95969,                 1.0119,                0.74034,                0.89714,                0.93678,                0.68226,                 1.0201,                0.78224,                0.98597,              0.0010037,              0.0010037,              0.0010037
                    202,                 1.0738,                0.90762,                  1.005,                0.78158,                 0.8923,                0.95425,                0.69249,                 1.0461,                0.72696,                 0.9919,              0.0010025,              0.0010025,              0.0010025
                    203,                 1.0592,                 0.8967,                0.98456,                0.75406,                0.83537,                0.83853,                0.61034,                0.99562,                0.76544,                 0.9792,              0.0010013,              0.0010013,              0.0010013
                    204,                  1.076,                0.94624,                0.98887,                0.81734,                0.80718,                0.83034,                0.61047,                0.98542,                0.87528,                0.98665,                  0.001,                  0.001,                  0.001
                    205,                 1.0653,                0.89784,                0.99994,                0.81452,                0.83591,                0.84635,                0.62557,                0.96543,                0.75726,                0.98299,             0.00099879,             0.00099879,             0.00099879
                    206,                 1.0572,                0.85344,                 1.0187,                0.82859,                0.82983,                 0.8518,                0.62988,                0.97404,                 0.7006,                 0.9782,             0.00099755,             0.00099755,             0.00099755
                    207,                 1.0551,                0.87575,                  0.985,                0.83962,                0.81185,                 0.8616,                0.65316,                0.96956,                0.68144,                0.96977,             0.00099631,             0.00099631,             0.00099631
                    208,                 1.0632,                0.80484,                  1.017,                0.82125,                0.84126,                0.86282,                0.66261,                0.89455,                0.64781,                 0.9593,             0.00099507,             0.00099507,             0.00099507
                    209,                 1.0036,                0.79623,                0.98112,                0.79923,                0.81343,                0.84429,                0.62391,                0.89585,                0.66351,                0.96281,             0.00099384,             0.00099384,             0.00099384
                    210,                 1.0331,                0.81306,                 1.0087,                0.82363,                 0.8288,                0.84879,                0.63695,                0.92017,                0.65729,                0.96957,              0.0009926,              0.0009926,              0.0009926
                    211,                 1.0237,                0.78144,                 1.0103,                0.87595,                0.82242,                0.85581,                0.64413,                0.92207,                0.65934,                0.96877,             0.00099136,             0.00099136,             0.00099136
                    212,                 1.0393,                0.82595,                 1.0063,                0.91817,                0.79015,                0.85894,                 0.6575,                0.88444,                0.68795,                0.96334,             0.00099013,             0.00099013,             0.00099013
                    213,                 1.0743,                0.85108,                 1.0036,                0.90201,                0.79769,                 0.8511,                0.66536,                0.86474,                0.66985,                0.95586,             0.00098889,             0.00098889,             0.00098889
                    214,                 1.0529,                0.81502,                 1.0276,                0.83365,                0.78535,                0.84011,                0.66069,                0.89753,                0.71988,                0.96306,             0.00098765,             0.00098765,             0.00098765
                    215,                 1.0444,                0.84105,                 1.0105,                0.79883,                0.83254,                0.84653,                0.65006,                0.91354,                0.68058,                0.97069,             0.00098641,             0.00098641,             0.00098641
                    216,                0.97449,                0.75623,                0.98003,                 0.7775,                0.84957,                0.85354,                0.67734,                0.87441,                0.63972,                0.95841,             0.00098518,             0.00098518,             0.00098518
                    217,                0.96994,                0.79488,                0.98734,                0.81246,                0.83863,                0.85606,                0.67037,                0.85671,                 0.6259,                0.95565,             0.00098394,             0.00098394,             0.00098394
                    218,                 1.0023,                0.73533,                0.98282,                0.77854,                0.84214,                0.85553,                0.65011,                0.87563,                0.63715,                 0.9566,              0.0009827,              0.0009827,              0.0009827
                    219,                0.99867,                 0.7897,                0.98128,                0.79327,                0.84709,                0.85197,                 0.6405,                0.91952,                0.66225,                0.96407,             0.00098146,             0.00098146,             0.00098146
                    220,                 1.0378,                0.76703,                0.98876,                0.68109,                0.84333,                0.84509,                0.64721,                0.89334,                0.69613,                 0.9544,             0.00098022,             0.00098022,             0.00098022
                    221,                 1.0337,                0.79192,                0.97723,                0.74554,                0.83673,                0.79816,                0.60193,                0.88857,                0.63298,                0.95101,             0.00097899,             0.00097899,             0.00097899
                    222,                 1.0245,                0.78183,                  1.009,                0.76361,                0.85982,                0.80483,                 0.6164,                0.87799,                0.62329,                0.95214,             0.00097775,             0.00097775,             0.00097775
                    223,                0.98789,                0.72756,                0.98455,                0.75693,                0.85301,                0.80033,                0.60127,                0.91983,                  0.647,                0.95959,             0.00097651,             0.00097651,             0.00097651
