                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.6845,                 1.9403,                  1.381,                0.59524,                0.43646,                 0.3548,                0.20443,                 1.5429,                  1.857,                 1.4341,              0.0012079,              0.0012079,              0.0012079
                     37,                 1.6395,                 1.8602,                 1.3806,                0.61643,                0.45591,                0.35708,                0.21951,                 1.5047,                 1.8436,                 1.4018,              0.0012067,              0.0012067,              0.0012067
                     38,                  1.571,                 1.8192,                 1.3301,                0.60817,                0.48916,                0.36528,                0.22544,                  1.379,                 1.7841,                 1.3348,              0.0012055,              0.0012055,              0.0012055
                     39,                 1.5822,                 1.8419,                 1.3427,                0.60005,                0.51903,                0.38744,                0.23397,                 1.3686,                 1.7842,                  1.326,              0.0012042,              0.0012042,              0.0012042
                     40,                 1.5627,                 1.8255,                 1.3095,                0.60153,                0.50052,                0.36602,                0.20555,                 1.5125,                 1.7942,                 1.3672,               0.001203,               0.001203,               0.001203
                     41,                 1.6018,                 1.8043,                 1.3182,                0.61005,                0.47651,                0.36427,                0.20306,                  1.514,                 1.7649,                 1.3769,              0.0012017,              0.0012017,              0.0012017
                     42,                 1.5762,                 1.7875,                 1.3372,                0.59838,                0.53631,                0.39454,                0.24241,                   1.37,                 1.6892,                 1.3135,              0.0012005,              0.0012005,              0.0012005
                     43,                 1.6097,                 1.7655,                 1.3245,                0.61278,                0.54693,                0.43534,                0.27551,                 1.3756,                 1.6335,                 1.2828,              0.0011993,              0.0011993,              0.0011993
                     44,                 1.5254,                 1.7359,                 1.2694,                0.59686,                0.49176,                0.37421,                0.22868,                 1.3304,                 1.7727,                  1.295,               0.001198,               0.001198,               0.001198
                     45,                 1.4973,                 1.6944,                 1.2062,                0.60666,                0.47451,                0.37586,                0.23606,                 1.3179,                 1.7635,                 1.2885,              0.0011968,              0.0011968,              0.0011968
                     46,                 1.4986,                 1.7057,                 1.2875,                0.63611,                0.51464,                0.40112,                0.25994,                 1.2713,                 1.6615,                 1.2603,              0.0011955,              0.0011955,              0.0011955
                     47,                 1.4698,                 1.6571,                  1.243,                0.63828,                0.51568,                0.41471,                0.25572,                 1.3634,                 1.6785,                 1.2782,              0.0011943,              0.0011943,              0.0011943
                     48,                 1.4307,                 1.6454,                 1.2615,                0.61653,                0.52048,                 0.4466,                 0.2891,                 1.2862,                  1.601,                 1.2521,              0.0011931,              0.0011931,              0.0011931
                     49,                 1.4594,                  1.578,                 1.2145,                0.62347,                0.52344,                0.47909,                0.31128,                 1.2556,                 1.5337,                 1.2264,              0.0011918,              0.0011918,              0.0011918
                     50,                 1.4954,                 1.6408,                 1.2511,                0.63944,                0.49937,                0.49185,                0.32236,                 1.2765,                 1.5301,                 1.2317,              0.0011906,              0.0011906,              0.0011906
                     51,                 1.4285,                    1.6,                 1.2282,                0.63682,                0.51474,                0.47428,                0.31827,                 1.2499,                 1.5611,                 1.2103,              0.0011894,              0.0011894,              0.0011894
                     52,                 1.4923,                 1.6935,                 1.2522,                0.63605,                0.55793,                 0.4713,                0.29949,                 1.2757,                 1.5749,                  1.196,              0.0011881,              0.0011881,              0.0011881
                     53,                 1.4407,                 1.6154,                 1.2035,                0.67041,                0.53374,                0.47093,                0.29669,                 1.2332,                 1.6903,                 1.1798,              0.0011869,              0.0011869,              0.0011869
                     54,                 1.4243,                 1.5998,                 1.2392,                0.69395,                0.50709,                0.49088,                 0.3003,                 1.3008,                 1.6967,                 1.1941,              0.0011856,              0.0011856,              0.0011856
                     55,                 1.3755,                 1.5499,                 1.2108,                0.69847,                0.52508,                0.50123,                0.33029,                 1.2294,                 1.6079,                 1.1802,              0.0011844,              0.0011844,              0.0011844
                     56,                 1.4616,                 1.6115,                 1.2066,                 0.6624,                0.48589,                0.47356,                0.28918,                 1.3616,                 1.6531,                 1.2158,              0.0011832,              0.0011832,              0.0011832
                     57,                 1.4612,                 1.7561,                 1.2669,                0.66098,                0.47268,                0.48542,                0.31601,                 1.2648,                 1.7934,                 1.1861,              0.0011819,              0.0011819,              0.0011819
                     58,                 1.3846,                 1.5299,                 1.1747,                0.71539,                0.48544,                0.53987,                0.36028,                 1.2247,                 1.7443,                 1.1712,              0.0011807,              0.0011807,              0.0011807
                     59,                    1.4,                 1.5313,                 1.2171,                0.66954,                0.51377,                0.49477,                0.32642,                 1.2516,                 1.6475,                 1.1811,              0.0011795,              0.0011795,              0.0011795
                     60,                 1.3796,                 1.5468,                 1.1443,                0.68646,                0.50665,                0.50015,                0.30649,                 1.2813,                 1.3448,                 1.1579,              0.0011782,              0.0011782,              0.0011782
